Category,Negative,Neutral,Positive
world,"Man shoots, injures 2 outside mosque in France. PARIS (AP) French police on Monday arrested a man with past far-right links suspected of shooting and seriously injuring two elderly men who spotted him trying to set fire to the door of a mosque. The regional governor said the suspect also",Putin: Trump Visit to Moscow for Military Para...,"Masterpiece found in French woman's kitchen sells for $26.6M. PARIS (AP) An old painting found in the kitchen of an elderly French woman, who considered it an icon of little importance, has made her a multimillionaire. The work, a masterpiece attributed to the 13th-century Italian painter Cimabue that was discovered"
finance,"Microsoft: Don't install Windows 10 1809 October 15 update, it breaks Defender ATP. Microsoft urges organizations to avoid installing KB4520062 because it could stall Defender antivirus services.",Ravishing 1920s Moorish Revival in the Los Feliz Oaks asking $5.5M. Rock the casbah!,Spanish colonial home stripped down to recover spectacular Camelback Mountain views. Take a look. A Spanish colonial house perched on Camelback Mountain was stripped down and reworked to capitalize on its amazing Phoenix views.
entertainment,"When Costars Clash: 13 Onscreen Pairs Who Were Allegedly Feuding Offscreen. Chelsea and Heather, Jennie and Shannen, Nicki and Mariah these celebs weren't afraid to speak their minds about their co-workers",100 books to read in a lifetime according to Amazon Books editors. There are more great books in the world than there is time to read all of them. Amazon's list of 100 books to read in a lifetime is a good place to start.,"The most famous celebrity kids born this decade. See the most well-known children born in the last 10 years, from Blue Ivy Carter and the Cambridge kids to North West and more."
football,Falcons could become the first team in modern NFL history to go 5 straight games without a sack. This season is making history for all of the very worst reasons.,How Worried Should the Minnesota Vikings Be about the Washington Redskins?. Ex-Redskin Kirk Cousins and the Vikings take on ex-Viking Case Keenum and the Redskins,Police officer wraps up last day at Don Antonio Lugo High School in Chino on a high note: VIDEO.
autos,"Fatal crash closed U.S. Route 29 in both directions. Howard County police have reported a fatal crash on U.S. Route 29 involving an overturned gravel truck. According to officials, Route 29 was closed in both directions at Rivers Edge Road. As of 9:30 a.m., the northbound lanes reopened. As of","Here's How They Pulled Off That Huge ""NOS"" Explosion in The Fast and The Furious. No, it wasn't the spray.","EarthRoamer Introduces Carbon Fiber-Bodied LTi Expedition Vehicle. This thing looks amazing, inside and out."
basketball,"The Yankees are missing just one thing, and that's an ace. The Yankees can't afford to let this third chance slip away.","Astros Crawfish Boil: November 14th, 2019. Start your morning with some of the best Astros links around",Three takeaways from Astros' Game 3 World Series win over Nationals. Houston beat Washington 4-1 on the road to get back into contention for its second championship in three seasons.
morenews,"Latino farmworkers face serious health risks due to California's wildfires. October marks not only fire season in California, but also the peak of the grape harvest, meaning that workers labor through dangerous heat and smoke.",Cincinnati Zoo reveals new bearcat's name.,Trooper pulls over to save flag on highway. The trooper is being praised for stopping his car and properly handling the fallen flag
weather,"Timelapse Shows Kincade Fire Burning Overnight in California Mountains. The Kincade Fire continued to burn in Sonoma County, California, threatening thousands of homes and growing to 75,415 acres as of Tuesday, October 29, officials said. The California Department of Forestry and Fire Protection (Cal Fire) said the wildfire, which started","'Ghost' boats removed from Lake Lanier. Three boats were removed last week from Lake Lanier, after being abandoned six to twelve months ago. They were found in one of the many coves along Lake Lanier's almost 700 miles of shoreline. A derelict houseboat, pontoon boat and sailboat are just the","2019 winter forecast shows it will likely to be warmer. Much of the United States will be warmer than normal this winter, the National Oceanic and Atmospheric Administration said Thursday."
music,Garth Brooks Got Called Out by Jimmy Carter for Taking Break During Habitat for Humanity Build. Garth Brooks Called Out by Jimmy Carter,"KISS 'End of the Road' Farewell Tour Coming to Greensboro. Legendary rock 'n' roll band 'KISS' announced touring locations for the final leg of its 'End of the Road' World Tour. The group is scheduled to perform at Greensboro Coliseum February 8th, 2020. This latest information follows KISS' earlier announcement",Taylor Swift and Andrew Lloyd Webber Team Up to Write New Original Song for Upcoming Cats Remake. Taylor Swift and Andrew Lloyd Webber Write New Original Song for Cats
health,"Diabetes cases soar, 1-in-11 adults affected: Doctors. More than 460 million people -- 1-in-11 adults -- now suffer from diabetes, largely brought on by an over-rich lifestyle short on exercise, the International Diabetes Federation (IDF) said Thursday.",Exactly What Happens to Your Body When You Gai...,10 of the Healthiest Fruits for Your Body. Forget fancy superfoods these nutritious powerhouses are essential staples for any healthy diet. The post 10 of the Healthiest Fruits for Your Body appeared first on The Healthy.
moresports,UFC Moscow: McGregor launches tirade at Abubakar following submission loss. Conor McGregor has targeted Abubakar Nurmagomedov following his submission loss at UFC Fight Night 163.,"Rubber track maker to create 250 jobs at Tennessee facility. MILAN, Tenn. (AP) Tennessee officials say a company that manufactures rubber tracks and undercarriages for industrial and agricultural equipment plans to create 250 jobs at its new Tennessee plant. The state Department of Economic and Community says Global Track Manufacturing","Charles Howell III takes family on 'once-in-a-lifetime' trip. SHANGHAI (AP) Not long after Charles Howell III finished his final round in Las Vegas, he packed up for a trip to Asia he never imagined taking."
lifestyle,"NHL rumors: Don Cherry fired after making racist remarks on 'Hockey Night in Canada'. Don Cherry, a legendary figure in Canada who has talked hockey on national television for more than three decades, was fired on Monday by Sportsnet due to a racist rant he made against immigrants on ""Hockey",Science says people decide these 12 things wit...,30 Gifts to Get Anyone Who's Still Obsessed with 'Game of Thrones'. Who cares that the who is technically over?
